model,temperature,cap_uc,run_index,outcome,n_calls_made,total_input_tokens,total_output_tokens,actual_spent_uc,pre_flight_estimate_uc,error_msg
gpt-4o-mini-2024-07-18,0.0,420,0,mid_loop_fired,1,76,80,59.4,417.6,
gpt-4o-mini-2024-07-18,0.0,420,1,mid_loop_fired,1,76,78,58.199999999999996,417.0,
gpt-4o-mini-2024-07-18,0.0,420,2,mid_loop_fired,1,76,80,59.4,417.6,
gpt-4o-mini-2024-07-18,0.0,420,3,mid_loop_fired,1,76,85,62.4,422.85,
gpt-4o-mini-2024-07-18,0.0,420,4,mid_loop_fired,1,76,85,62.4,422.85,
gpt-4o-mini-2024-07-18,0.0,420,5,mid_loop_fired,1,76,85,62.4,422.85,
gpt-4o-mini-2024-07-18,0.0,420,6,mid_loop_fired,1,76,80,59.4,417.6,
gpt-4o-mini-2024-07-18,0.0,420,7,mid_loop_fired,1,76,78,58.199999999999996,421.05,
gpt-4o-mini-2024-07-18,0.0,420,8,mid_loop_fired,1,76,85,62.4,422.85,
gpt-4o-mini-2024-07-18,0.0,420,9,mid_loop_fired,1,76,77,57.599999999999994,415.95,
gpt-4o-mini-2024-07-18,0.3,420,0,mid_loop_fired,1,76,83,61.199999999999996,424.35,
gpt-4o-mini-2024-07-18,0.3,420,1,mid_loop_fired,1,76,76,57.0,420.75,
gpt-4o-mini-2024-07-18,0.3,420,2,mid_loop_fired,1,76,79,58.8,416.55,
gpt-4o-mini-2024-07-18,0.3,420,3,mid_loop_fired,1,76,80,59.4,414.15,
gpt-4o-mini-2024-07-18,0.3,420,4,mid_loop_fired,1,76,77,57.599999999999994,418.65,
gpt-4o-mini-2024-07-18,0.3,420,5,mid_loop_fired,1,76,77,57.599999999999994,418.05,
gpt-4o-mini-2024-07-18,0.3,420,6,mid_loop_fired,1,76,81,60.0,414.9,
gpt-4o-mini-2024-07-18,0.3,420,7,mid_loop_fired,1,76,74,55.8,417.45,
gpt-4o-mini-2024-07-18,0.3,420,8,mid_loop_fired,1,76,75,56.4,415.65,
gpt-4o-mini-2024-07-18,0.3,420,9,mid_loop_fired,1,76,79,58.8,418.35,
gpt-4o-mini-2024-07-18,0.7,420,0,mid_loop_fired,1,76,99,70.8,431.85,
gpt-4o-mini-2024-07-18,0.7,420,1,mid_loop_fired,1,76,84,61.8,421.05,
gpt-4o-mini-2024-07-18,0.7,420,2,mid_loop_fired,1,76,73,55.199999999999996,411.45,
gpt-4o-mini-2024-07-18,0.7,420,3,mid_loop_fired,1,76,80,59.4,415.35,
gpt-4o-mini-2024-07-18,0.7,420,4,mid_loop_fired,1,76,95,68.4,430.04999999999995,
gpt-4o-mini-2024-07-18,0.7,420,5,mid_loop_fired,1,76,65,50.4,411.9,
gpt-4o-mini-2024-07-18,0.7,420,6,mid_loop_fired,1,76,66,51.0,406.35,
gpt-4o-mini-2024-07-18,0.7,420,7,mid_loop_fired,1,76,86,63.0,415.8,
gpt-4o-mini-2024-07-18,0.7,420,8,mid_loop_fired,1,76,76,57.0,416.25,
gpt-4o-mini-2024-07-18,0.7,420,9,mid_loop_fired,1,76,72,54.599999999999994,415.95,
gpt-4o-mini-2024-07-18,1.0,420,0,mid_loop_fired,1,76,98,70.2,429.0,
gpt-4o-mini-2024-07-18,1.0,420,1,mid_loop_fired,1,76,74,55.8,414.3,
gpt-4o-mini-2024-07-18,1.0,420,2,mid_loop_fired,1,76,62,48.599999999999994,408.3,
gpt-4o-mini-2024-07-18,1.0,420,3,mid_loop_fired,1,76,73,55.199999999999996,418.35,
gpt-4o-mini-2024-07-18,1.0,420,4,mid_loop_fired,1,76,64,49.8,409.05,
gpt-4o-mini-2024-07-18,1.0,420,5,mid_loop_fired,1,76,72,54.599999999999994,409.35,
gpt-4o-mini-2024-07-18,1.0,420,6,mid_loop_fired,1,76,103,73.2,433.65,
gpt-4o-mini-2024-07-18,1.0,420,7,mid_loop_fired,1,76,84,61.8,421.35,
gpt-4o-mini-2024-07-18,1.0,420,8,mid_loop_fired,1,76,89,64.8,425.85,
gpt-4o-mini-2024-07-18,1.0,420,9,mid_loop_fired,1,76,77,57.599999999999994,420.9,
