model,temperature,cap_uc,run_index,outcome,n_calls_made,total_input_tokens,total_output_tokens,actual_spent_uc,error_msg
claude-sonnet-4-5-20250929,0.0,800,0,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,1,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,2,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,3,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,4,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,5,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,6,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,7,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,8,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.0,800,9,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,0,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,1,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,2,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,3,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,4,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,5,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,6,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,7,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,8,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.3,800,9,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,0,completed_within_cap,1,61,190,0,
claude-sonnet-4-5-20250929,0.7,800,1,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,2,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,3,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,4,completed_within_cap,1,61,197,0,
claude-sonnet-4-5-20250929,0.7,800,5,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,6,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,7,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,0.7,800,8,completed_within_cap,1,61,191,0,
claude-sonnet-4-5-20250929,0.7,800,9,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,0,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,1,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,2,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,3,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,4,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,5,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,6,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,7,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,8,mid_loop_fired,1,61,200,0,
claude-sonnet-4-5-20250929,1.0,800,9,mid_loop_fired,1,61,200,0,
gpt-4o-mini-2024-07-18,0.0,200,0,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,1,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,2,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,3,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,4,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,5,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,6,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,7,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,8,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.0,200,9,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,0,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,1,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,2,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,3,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,4,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,5,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,6,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,7,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,8,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.3,200,9,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,0,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,1,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,2,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,3,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,4,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,5,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,6,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,7,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,8,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,0.7,200,9,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,0,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,1,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,2,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,3,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,4,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,5,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,6,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,7,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,8,pre_flight_refused,0,0,0,0,
gpt-4o-mini-2024-07-18,1.0,200,9,pre_flight_refused,0,0,0,0,
