model,temperature,cap_uc,run_index,outcome,n_calls_made,total_input_tokens,total_output_tokens,actual_spent_uc,pre_flight_estimate_uc,error_msg
claude-sonnet-4-5-20250929,0.0,30000,0,completed_within_cap,3,473,433,7914.0,12576.0,
claude-sonnet-4-5-20250929,0.0,30000,1,completed_within_cap,3,471,428,7833.0,12558.0,
claude-sonnet-4-5-20250929,0.0,30000,2,completed_within_cap,3,496,407,7593.0,12864.0,
claude-sonnet-4-5-20250929,0.0,30000,3,completed_within_cap,3,496,407,7593.0,12864.0,
claude-sonnet-4-5-20250929,0.0,30000,4,completed_within_cap,3,473,433,7914.0,12576.0,
claude-sonnet-4-5-20250929,0.0,30000,5,completed_within_cap,3,496,407,7593.0,12864.0,
claude-sonnet-4-5-20250929,0.0,30000,6,completed_within_cap,3,473,433,7914.0,12576.0,
claude-sonnet-4-5-20250929,0.0,30000,7,completed_within_cap,3,471,428,7833.0,12558.0,
claude-sonnet-4-5-20250929,0.0,30000,8,completed_within_cap,3,473,433,7914.0,12576.0,
claude-sonnet-4-5-20250929,0.0,30000,9,completed_within_cap,3,496,402,7518.0,12864.0,
claude-sonnet-4-5-20250929,0.3,30000,0,completed_within_cap,3,499,464,8457.0,13188.0,
claude-sonnet-4-5-20250929,0.3,30000,1,completed_within_cap,3,444,343,6477.0,12300.0,
claude-sonnet-4-5-20250929,0.3,30000,2,completed_within_cap,3,473,415,7644.0,12576.0,
claude-sonnet-4-5-20250929,0.3,30000,3,completed_within_cap,3,538,417,7869.0,13224.0,
claude-sonnet-4-5-20250929,0.3,30000,4,completed_within_cap,3,517,388,7371.0,12894.0,
claude-sonnet-4-5-20250929,0.3,30000,5,completed_within_cap,3,501,319,6288.0,12612.0,
claude-sonnet-4-5-20250929,0.3,30000,6,completed_within_cap,3,526,368,7098.0,13236.0,
claude-sonnet-4-5-20250929,0.3,30000,7,completed_within_cap,3,506,376,7158.0,13860.0,
claude-sonnet-4-5-20250929,0.3,30000,8,completed_within_cap,3,473,435,7944.0,12732.0,
claude-sonnet-4-5-20250929,0.3,30000,9,completed_within_cap,3,474,384,7182.0,12552.0,
claude-sonnet-4-5-20250929,0.7,30000,0,completed_within_cap,3,461,334,6393.0,12174.0,
claude-sonnet-4-5-20250929,0.7,30000,1,completed_within_cap,3,461,359,6768.0,12258.0,
claude-sonnet-4-5-20250929,0.7,30000,2,completed_within_cap,3,454,384,7122.0,12264.0,
claude-sonnet-4-5-20250929,0.7,30000,3,completed_within_cap,3,478,389,7269.0,12702.0,
claude-sonnet-4-5-20250929,0.7,30000,4,completed_within_cap,3,503,374,7119.0,12072.0,
claude-sonnet-4-5-20250929,0.7,30000,5,completed_within_cap,3,460,361,6795.0,12558.0,
claude-sonnet-4-5-20250929,0.7,30000,6,completed_within_cap,3,466,366,6888.0,12414.0,
claude-sonnet-4-5-20250929,0.7,30000,7,completed_within_cap,3,461,377,7038.0,12282.0,
claude-sonnet-4-5-20250929,0.7,30000,8,completed_within_cap,3,491,356,6813.0,12960.0,
claude-sonnet-4-5-20250929,0.7,30000,9,completed_within_cap,3,552,453,8451.0,13500.0,
claude-sonnet-4-5-20250929,1.0,30000,0,completed_within_cap,3,480,426,7830.0,12168.0,
claude-sonnet-4-5-20250929,1.0,30000,1,completed_within_cap,3,553,477,8814.0,14136.0,
claude-sonnet-4-5-20250929,1.0,30000,2,completed_within_cap,3,452,328,6276.0,12648.0,
claude-sonnet-4-5-20250929,1.0,30000,3,completed_within_cap,3,447,326,6231.0,12072.0,
claude-sonnet-4-5-20250929,1.0,30000,4,completed_within_cap,3,487,430,7911.0,13278.0,
claude-sonnet-4-5-20250929,1.0,30000,5,completed_within_cap,3,445,317,6090.0,11862.0,
claude-sonnet-4-5-20250929,1.0,30000,6,completed_within_cap,3,453,386,7149.0,12408.0,
claude-sonnet-4-5-20250929,1.0,30000,7,completed_within_cap,3,467,434,7911.0,12732.0,
claude-sonnet-4-5-20250929,1.0,30000,8,completed_within_cap,3,495,360,6885.0,12498.0,
claude-sonnet-4-5-20250929,1.0,30000,9,completed_within_cap,3,473,386,7209.0,12924.0,
gpt-4o-mini-2024-07-18,0.0,1500,0,completed_within_cap,3,453,326,263.55,446.1,
gpt-4o-mini-2024-07-18,0.0,1500,1,completed_within_cap,3,432,321,257.4,434.1,
gpt-4o-mini-2024-07-18,0.0,1500,2,completed_within_cap,3,455,346,275.84999999999997,445.79999999999995,
gpt-4o-mini-2024-07-18,0.0,1500,3,completed_within_cap,3,443,348,275.25,436.95,
gpt-4o-mini-2024-07-18,0.0,1500,4,completed_within_cap,3,457,348,277.35,446.7,
gpt-4o-mini-2024-07-18,0.0,1500,5,completed_within_cap,3,442,346,273.9,438.45,
gpt-4o-mini-2024-07-18,0.0,1500,6,completed_within_cap,3,462,356,282.9,449.54999999999995,
gpt-4o-mini-2024-07-18,0.0,1500,7,completed_within_cap,3,447,322,260.25,442.2,
gpt-4o-mini-2024-07-18,0.0,1500,8,completed_within_cap,3,442,306,249.89999999999998,438.45,
gpt-4o-mini-2024-07-18,0.0,1500,9,completed_within_cap,3,443,353,278.25,437.7,
gpt-4o-mini-2024-07-18,0.3,1500,0,completed_within_cap,3,434,283,234.89999999999998,438.75,
gpt-4o-mini-2024-07-18,0.3,1500,1,completed_within_cap,3,451,333,267.45,447.75,
gpt-4o-mini-2024-07-18,0.3,1500,2,completed_within_cap,3,413,284,232.35,432.9,
gpt-4o-mini-2024-07-18,0.3,1500,3,completed_within_cap,3,424,293,239.39999999999998,433.2,
gpt-4o-mini-2024-07-18,0.3,1500,4,completed_within_cap,3,436,401,306.0,443.25,
gpt-4o-mini-2024-07-18,0.3,1500,5,completed_within_cap,3,433,313,252.75,440.4,
gpt-4o-mini-2024-07-18,0.3,1500,6,completed_within_cap,3,442,313,254.1,444.6,
gpt-4o-mini-2024-07-18,0.3,1500,7,completed_within_cap,3,447,318,257.85,445.5,
gpt-4o-mini-2024-07-18,0.3,1500,8,completed_within_cap,3,424,291,238.2,434.1,
gpt-4o-mini-2024-07-18,0.3,1500,9,completed_within_cap,3,433,293,240.75,436.2,
gpt-4o-mini-2024-07-18,0.7,1500,0,completed_within_cap,3,462,366,288.9,459.75,
gpt-4o-mini-2024-07-18,0.7,1500,1,completed_within_cap,3,408,285,232.20000000000002,428.7,
gpt-4o-mini-2024-07-18,0.7,1500,2,completed_within_cap,3,444,327,262.79999999999995,443.4,
gpt-4o-mini-2024-07-18,0.7,1500,3,completed_within_cap,3,446,330,264.9,444.29999999999995,
gpt-4o-mini-2024-07-18,0.7,1500,4,completed_within_cap,3,466,426,325.5,446.85,
gpt-4o-mini-2024-07-18,0.7,1500,5,completed_within_cap,3,452,330,265.79999999999995,452.7,
