provider,model,temperature,run_index,outcome,call_index,input_tokens,output_tokens,cost_uc,cumulative_uc
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,1,231,75,79.6500,114.4500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,2,462,73,113.1000,227.5500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,3,689,75,148.3500,375.9000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,4,920,77,184.2000,560.1000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,5,1155,75,218.2500,778.3500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,6,1386,75,252.9000,1031.2500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,7,1617,79,289.9500,1321.2000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,8,1856,79,325.8000,1647.0000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,9,2095,85,365.2500,2012.2500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,10,2346,87,404.1000,2416.3500
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,11,2601,78,436.9500,2853.3000
openai,gpt-4o-mini-2024-07-18,0.7,0,recursion_limit_hit,12,2838,84,476.1000,3329.4000
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,1,231,75,79.6500,114.4500
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,2,462,70,111.3000,225.7500
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,3,683,78,149.2500,375.0000
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,4,920,79,185.4000,560.4000
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,5,1159,21,186.4500,746.8500
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,6,1236,20,197.4000,944.2500
openai,gpt-4o-mini-2024-07-18,0.7,1,recursion_limit_hit,7,1311,72,239.8500,1184.1000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,1,231,16,44.2500,79.0500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,2,298,17,54.9000,133.9500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,3,367,18,65.8500,199.8000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,4,438,18,76.5000,276.3000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,5,509,18,87.1500,363.4500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,6,580,19,98.4000,461.8500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,7,653,19,109.3500,571.2000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,8,726,20,120.9000,692.1000
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,9,801,18,130.9500,823.0500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,10,872,19,142.2000,965.2500
openai,gpt-4o-mini-2024-07-18,0.7,2,completed,11,945,75,186.7500,1152.0000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,1,231,20,46.6500,81.4500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,2,306,16,55.5000,136.9500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,3,373,17,66.1500,203.1000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,4,442,18,77.1000,280.2000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,5,513,18,87.7500,367.9500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,6,584,18,98.4000,466.3500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,7,655,19,109.6500,576.0000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,8,728,19,120.6000,696.6000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,9,801,20,132.1500,828.7500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,10,876,19,142.8000,971.5500
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,11,949,20,154.3500,1125.9000
openai,gpt-4o-mini-2024-07-18,0.7,3,recursion_limit_hit,12,1024,20,165.6000,1291.5000
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,1,231,112,101.8500,136.6500
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,2,594,75,134.1000,270.7500
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,3,825,20,135.7500,406.5000
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,4,900,18,145.8000,552.3000
openai,gpt-4o-mini-2024-07-18,0.7,4,completed,5,971,45,172.6500,724.9500
